8.9167	44.35	1972	1	6	3.14	3	22	16	1
12.3667	46.1	1972	1	7	3.3	0	19	57	33
8.1667	44.2167	1972	1	17	3.04	0	2	19	36
8.25	44.1167	1972	1	17	3.44	5	5	52	53
8.2	44.2	1972	1	17	3.97	25	12	8	8
8.2167	44.2333	1972	1	17	4.14	5	12	11	7
8.3	43.9667	1972	1	17	3.24	0	12	22	16
8.1667	44.1	1972	1	17	3.14	0	13	57	18
8.2	44.2167	1972	1	17	3.24	25	13	58	50
8.1333	44.1	1972	1	17	3.14	0	15	15	40
8.3333	43.6833	1972	1	17	3.14	0	18	9	46
8.2167	44.2	1972	1	17	3.04	0	19	58	19
8.4167	43.5167	1972	1	18	3.04	0	17	0	19
8.2	44.2	1972	1	18	4.16	0	23	26	11
8.2167	44.2	1972	1	19	3.3	0	15	33	16
8.2167	44.2333	1972	1	20	3.3	0	18	49	13
8.45	43.4667	1972	1	21	3.04	0	13	54	5
6.6333	44.4	1972	1	23	3.04	0	23	0	49
8.1	44.0833	1972	1	24	3.24	0	5	4	56
13.4667	43.75	1972	1	25	4.36	0	20	24	35
13.1	43.8667	1972	1	26	4.07	21	10	50	10
8.2	44.2	1972	1	28	3.5	0	15	29	41
8.2667	44.2333	1972	1	28	3.14	0	20	15	39
8.1	44.25	1972	2	3	3.74	0	4	4	38
13.4333	43.7167	1972	2	4	4.57	5	2	42	18
13.4	43.7	1972	2	4	3.44	0	2	49	10
13.0167	43.9167	1972	2	4	3.44	0	4	40	56
13.2	43.9167	1972	2	4	3.44	0	5	29	43
13.2	43.9167	1972	2	4	3.44	0	5	40	0
13.2	43.9167	1972	2	4	3.54	0	8	25	55
13.2	43.9167	1972	2	4	3.44	0	9	12	0
13.3667	43.7333	1972	2	4	4.36	23	9	18	30
13.4	43.9	1972	2	4	3.43	0	9	23	20
13.4	43.9	1972	2	4	3.44	0	9	23	53
13.4	43.7	1972	2	4	3.44	0	9	27	37
13.4	43.7	1972	2	4	3.44	0	11	42	40
13.4	43.7	1972	2	4	3.44	0	13	0	0
13.3667	43.7167	1972	2	4	4.07	23	17	19	49
13.3667	43.7667	1972	2	4	3.44	0	18	34	53
13.8833	43.4333	1972	2	4	3.44	0	18	37	15
13.9333	43.6667	1972	2	4	3.64	0	19	29	48
13.4	43.7	1972	2	4	3.54	0	19	53	59
13.45	43.7	1972	2	4	3.44	0	20	44	0
13.45	43.7	1972	2	4	3.44	0	22	40	33
13.6167	43.6	1972	2	4	3.44	9	23	16	57
13.6	43.6	1972	2	5	3.24	6	1	9	33
13.6	43.6	1972	2	5	3.04	0	1	20	0
13.4	43.7167	1972	2	5	4.36	0	1	26	29
13.4	43.7	1972	2	5	4.41	0	1	27	30
13.45	43.7	1972	2	5	3.44	0	1	29	23
13.4	43.7167	1972	2	5	3.34	0	1	30	28
13.4	43.7167	1972	2	5	3.44	0	1	32	52
13.4	43.7167	1972	2	5	3.14	0	1	33	53
13.4	43.7167	1972	2	5	3.14	0	1	38	23
13.4	43.7167	1972	2	5	3.34	0	1	40	39
13.4	43.7167	1972	2	5	3.34	0	1	42	1
13.4	43.7167	1972	2	5	3.34	0	1	44	59
13.4	43.7167	1972	2	5	3.04	0	1	51	53
13.4	43.7167	1972	2	5	3.44	0	1	53	8
13.4	43.7167	1972	2	5	3.54	0	2	2	50
13.1	43.6667	1972	2	5	3.34	0	2	13	33
13.4	43.7	1972	2	5	3.54	0	2	14	10
13.4	43.7167	1972	2	5	3.04	0	2	29	1
13.6	43.6333	1972	2	5	3.34	4	2	49	40
13.5667	43.6167	1972	2	5	3.54	7	3	38	43
13.1667	44.0333	1972	2	5	3.74	8	3	49	53
13.5333	43.5833	1972	2	5	3.14	8	3	55	48
13.4	43.7167	1972	2	5	3.14	0	4	4	17
13.6	43.6167	1972	2	5	3.14	7	4	6	24
13.4	43.7167	1972	2	5	3.44	0	4	12	17
